gene,node_id,layer,x,y,label,is_leaf,af
LCT,internal_1,0,0.5,0.0,,False,
LCT,African,1,0.0,1.0,African,True,0.0030121
LCT,internal_2,1,0.142857,0.6082,,False,
LCT,Middle,2,0.142857,0.6082,Middle,True,
LCT,internal_3,1,0.5,0.120729,,False,
LCT,internal_4,2,0.357143,0.464692,,False,
LCT,American,3,0.285714,0.505695,American,True,0.0024167
LCT,Finnish,3,0.428571,0.505695,Finnish,True,0.0024531
LCT,internal_5,2,0.642857,0.191344,,False,
LCT,internal_6,3,0.571429,0.261959,,False,
LCT,Ashkenazi,4,0.571429,0.261959,Ashkenazi,True,
LCT,South,3,0.714286,0.191344,South,True,
LCT,internal_7,1,0.857143,0.08656,,False,
LCT,East,2,0.857143,0.08656,East,True,
LCT,Non-Finnish,1,1.0,0.0,Non-Finnish,True,
EPAS1,internal_1,0,0.325,0.0,,False,
EPAS1,African,1,0.0,1.0,African,True,0.0017846
EPAS1,internal_2,1,0.65,0.005976,,False,
EPAS1,internal_3,2,0.3,0.065737,,False,
EPAS1,internal_4,3,0.2,0.081673,,False,
EPAS1,Ashkenazi,4,0.2,0.081673,Ashkenazi,True,
EPAS1,Finnish,3,0.4,0.081673,Finnish,True,0.0007671
EPAS1,internal_5,2,0.6,0.053785,,False,
EPAS1,South,3,0.6,0.053785,South,True,
EPAS1,internal_6,2,0.8,0.011952,,False,
EPAS1,Middle,3,0.8,0.011952,Middle,True,
EPAS1,Non-Finnish,2,1.0,0.005976,Non-Finnish,True,
HLA-A,internal_1,0,0.5,0.0,,False,
HLA-A,internal_2,1,0.5,0.5,,False,
HLA-A,Finnish,2,0.0,1.0,Finnish,True,0.002246
HLA-A,Non-Finnish,2,1.0,0.5,Non-Finnish,True,
GAPDH,internal_1,0,0.4375,0.0,,False,
GAPDH,African,1,0.0,1.0,African,True,0.0018906
GAPDH,internal_2,1,0.375,0.193291,,False,
GAPDH,internal_3,2,0.375,0.34984,,False,
GAPDH,American,3,0.25,0.50639,American,True,0.0008527
GAPDH,East,3,0.5,0.34984,East,True,
GAPDH,internal_4,1,0.875,0.025559,,False,
GAPDH,internal_5,2,0.75,0.051118,,False,
GAPDH,Ashkenazi,3,0.75,0.051118,Ashkenazi,True,
GAPDH,Middle,2,1.0,0.025559,Middle,True,
MAPT,internal_1,0,0.416667,0.0,,False,
MAPT,internal_2,1,0.0,1.0,,False,
MAPT,Ashkenazi,2,0.0,1.0,Ashkenazi,True,
MAPT,internal_3,1,0.333333,0.225806,,False,
MAPT,Non-Finnish,2,0.333333,0.225806,Non-Finnish,True,
MAPT,internal_4,1,0.833333,0.024194,,False,
MAPT,American,2,0.666667,0.048387,American,True,0.0011149
MAPT,Middle,2,1.0,0.024194,Middle,True,
